lambda,offset,r,oos
0.0,15,0.09,-0.03409941440663787
0.0,15,0.09999999999999999,-0.03414606472703639
0.0,15,0.11,-0.03416774771113076
0.0,15,0.12,-0.03420521750942831
0.0,15,0.13,-0.03423111097060396
0.0,15,0.14,-0.03423675181006118
0.0,16,0.01,-0.015863979313185186
0.0,16,0.02,-0.016172175157029997
0.0,16,0.03,-0.01646354507564607
0.0,16,0.04,-0.01645317906563238
0.0,16,0.05,-0.016963348739886516
0.0,16,0.060000000000000005,-0.01718848127826009
0.0,16,0.06999999999999999,-0.017431165433000086
0.0,16,0.08,-0.017792616637696112
0.0,16,0.09,-0.017976047657068166
0.0,16,0.09999999999999999,-0.018307322588458207
0.0,16,0.11,-0.01856573582094502
0.0,16,0.12,-0.018845130312388242
0.0,16,0.13,-0.018945482513861828
0.0,16,0.14,-0.01919609250471166
0.0,17,0.01,-0.004053934929597083
0.0,17,0.02,-0.004143061743991752
0.0,17,0.03,-0.00430473390144688
0.0,17,0.04,-0.004410561411460321
0.0,17,0.05,-0.004516917294638334
0.0,17,0.060000000000000005,-0.0046347475444572205
0.0,17,0.06999999999999999,-0.004761655983767844
0.0,17,0.08,-0.0048672787351497545
0.0,17,0.09,-0.0049758061351285795
0.0,17,0.09999999999999999,-0.0050788968393918185
0.0,17,0.11,-0.005181979103302483
0.0,17,0.12,-0.00528711619729524
0.0,17,0.13,-0.005399991085559402
0.0,17,0.14,-0.005486213667994874
0.0,18,0.01,-0.004053934929597083
0.0,18,0.02,-0.004143061743991752
0.0,18,0.03,-0.00430473390144688
0.0,18,0.04,-0.004410561411460321
0.0,18,0.05,-0.004539344420292828
0.0,18,0.060000000000000005,-0.0046347475444572205
0.0,18,0.06999999999999999,-0.004747834978836011
0.0,18,0.08,-0.004863790703424455
0.0,18,0.09,-0.004951406322387044
0.0,18,0.09999999999999999,-0.0050788968393918185
0.0,18,0.11,-0.005170445992853481
0.0,18,0.12,-0.00528711619729524
0.0,18,0.13,-0.005399991085559402
0.0,18,0.14,-0.005496623422424851
0.0,19,0.01,-0.004053934929597083
0.0,19,0.02,-0.004143061743991752
0.0,19,0.03,-0.004301598173689175
0.0,19,0.04,-0.004410561411460321
0.0,19,0.05,-0.004539344420292828
0.0,19,0.060000000000000005,-0.0046347475444572205
0.0,19,0.06999999999999999,-0.004761655983767844
0.0,19,0.08,-0.0048672787351497545
0.0,19,0.09,-0.0049758061351285795
0.0,19,0.09999999999999999,-0.0050788968393918185
0.0,19,0.11,-0.005170445992853481
0.0,19,0.12,-0.00528711619729524
0.0,19,0.13,-0.005399991085559402
0.0,19,0.14,-0.005496623422424851
0.0,20,0.01,-0.016458327302108555
0.0,20,0.02,-0.016258425837307272
0.0,20,0.03,-0.01603016863175037
0.0,20,0.04,-0.015848896756929333
0.0,20,0.05,-0.015578382219829939
0.0,20,0.060000000000000005,-0.015258896160891995
0.0,20,0.06999999999999999,-0.015193689855970511
0.0,20,0.08,-0.01496809732567412
0.0,20,0.09,-0.014761508642183778
0.0,20,0.09999999999999999,-0.014447338988126572
0.0,20,0.11,-0.014335096768798518
0.0,20,0.12,-0.014136989748113067
0.0,20,0.13,-0.013903316151756504
0.0,20,0.14,-0.013671904733579368
0.0,21,0.01,-0.0021849573237893768
0.0,21,0.02,-0.0019947547539267627
0.0,21,0.03,-0.001782484869550011
0.0,21,0.04,-0.001584338202047786
0.0,21,0.05,-0.0013610801811238444
0.0,21,0.060000000000000005,-0.0011251072550780463
0.0,21,0.06999999999999999,-0.0009080050621709966
0.0,21,0.08,-0.0006930970480004809
0.0,21,0.09,-0.0004633877533221089
0.0,21,0.09999999999999999,-0.0002422843070354014
0.0,21,0.11,-2.608727264663568e-05
0.0,21,0.12,0.00013207144707399056
0.0,21,0.13,0.00033135055707098483
0.0,21,0.14,0.0005009694467198886
0.0,22,0.01,0.024837236716842438
0.0,22,0.02,0.024735092665346597
0.0,22,0.03,0.024576169573926797
